Last,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade",Strike,Last,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade"
70.15,114.73,36.00%,0.94599,0.00128,-0.04029,0.25663,05/04/21,354.00,1.66,1.64,33.21%,-0.04623,0.00120,-0.04041,0.23441,11/12/21
113.12,113.75,35.78%,0.94524,0.00130,-0.04052,0.25951,11/09/21,355.00,1.78,1.67,33.06%,-0.04715,0.00123,-0.04087,0.23816,11/12/21
91.01,112.77,35.57%,0.94448,0.00132,-0.04075,0.26240,09/27/21,356.00,1.85,1.69,32.86%,-0.04790,0.00125,-0.04115,0.24117,11/10/21
97.59,111.79,35.35%,0.94371,0.00134,-0.04098,0.26531,10/20/21,357.00,1.75,1.72,32.71%,-0.04884,0.00128,-0.04160,0.24495,11/12/21
47.50,110.82,35.15%,0.94285,0.00137,-0.04129,0.26857,03/03/21,358.00,1.77,1.75,32.55%,-0.04979,0.00130,-0.04204,0.24874,11/12/21
89.54,109.84,34.93%,0.94206,0.00139,-0.04150,0.27152,08/16/21,359.00,1.95,1.78,32.39%,-0.05075,0.00133,-0.04248,0.25255,11/10/21
104.86,108.86,34.73%,0.94118,0.00142,-0.04180,0.27482,11/10/21,360.00,1.78,1.81,32.22%,-0.05172,0.00136,-0.04292,0.25637,11/12/21
0.00,107.89,34.52%,0.94029,0.00144,-0.04209,0.27813,N/A,361.00,1.84,1.84,32.06%,-0.05269,0.00138,-0.04334,0.26021,11/12/21
78.49,106.91,34.30%,0.93948,0.00147,-0.04230,0.28115,07/09/21,362.00,1.87,1.87,31.89%,-0.05368,0.00141,-0.04376,0.26406,11/12/21
0.00,105.94,34.11%,0.93848,0.00149,-0.04266,0.28482,N/A,363.00,1.90,1.90,31.72%,-0.05468,0.00144,-0.04417,0.26794,11/12/21
0.00,104.96,33.90%,0.93756,0.00152,-0.04294,0.28820,N/A,364.00,2.12,1.94,31.59%,-0.05587,0.00147,-0.04475,0.27254,11/10/21
87.85,103.98,33.70%,0.93651,0.00155,-0.04325,0.29217,10/19/21,365.00,1.98,1.98,31.45%,-0.05707,0.00150,-0.04532,0.27716,11/12/21
73.95,103.02,33.50%,0.93528,0.00158,-0.04367,0.29678,07/02/21,366.00,2.00,2.00,31.24%,-0.05792,0.00153,-0.04554,0.28037,11/12/21
71.98,102.04,33.29%,0.93433,0.00161,-0.04393,0.30023,10/13/21,367.00,2.01,2.04,31.10%,-0.05914,0.00156,-0.04610,0.28501,11/12/21
47.23,101.07,33.10%,0.93321,0.00444,-0.04426,0.30428,03/17/21,368.00,2.28,2.07,30.92%,-0.06019,0.00159,-0.04647,0.28897,11/10/21
58.50,100.10,32.90%,0.93179,0.00168,-0.04472,0.30971,06/18/21,369.00,2.08,2.11,30.77%,-0.06144,0.00163,-0.04701,0.29365,11/12/21
95.04,99.12,32.67%,0.93088,0.00171,-0.04489,0.31293,11/10/21,370.00,2.11,2.15,30.62%,-0.06270,0.00166,-0.04754,0.29833,11/12/21
0.00,98.17,32.52%,0.92953,0.00174,-0.04543,0.31770,N/A,371.00,2.40,2.18,30.43%,-0.06379,0.00169,-0.04790,0.30235,11/10/21
85.73,97.20,32.32%,0.92806,0.00178,-0.04586,0.32315,10/25/21,372.00,2.23,2.23,30.31%,-0.06526,0.00173,-0.04856,0.30774,11/12/21
33.92,96.23,32.11%,0.92694,0.00181,-0.04616,0.32705,03/04/21,373.00,2.45,2.26,30.12%,-0.06637,0.00177,-0.04891,0.31180,11/12/21
76.25,95.26,31.94%,0.92564,0.00185,-0.04659,0.33158,10/18/21,374.00,2.53,2.30,29.96%,-0.06768,0.00180,-0.04940,0.31655,11/10/21
84.01,94.29,31.73%,0.92449,0.00188,-0.04688,0.33553,10/27/21,375.00,2.35,2.35,29.83%,-0.06919,0.00184,-0.05004,0.32197,11/12/21
65.90,93.34,31.55%,0.92270,0.00193,-0.04745,0.34201,09/28/21,376.00,2.35,2.38,29.64%,-0.07034,0.00188,-0.05036,0.32610,11/12/21
74.11,92.37,31.34%,0.92153,0.00196,-0.04772,0.34602,09/16/21,377.00,2.67,2.42,29.47%,-0.07169,0.00192,-0.05082,0.33090,11/10/21
92.74,91.41,31.16%,0.92016,0.00200,-0.04813,0.35063,11/08/21,378.00,2.51,2.47,29.32%,-0.07315,0.00196,-0.05136,0.33604,11/12/21
73.67,90.44,30.96%,0.91887,0.00204,-0.04845,0.35498,10/19/21,379.00,2.49,2.51,29.16%,-0.07463,0.00200,-0.05188,0.34120,11/12/21
86.49,89.48,30.76%,0.91703,0.00208,-0.04893,0.36150,11/11/21,380.00,2.53,2.56,29.01%,-0.07612,0.00204,-0.05239,0.34637,11/12/21
85.22,88.53,30.60%,0.91531,0.00213,-0.04948,0.36740,11/03/21,381.00,3.03,2.60,28.85%,-0.07762,0.00208,-0.05289,0.35156,11/10/21
76.91,87.57,30.41%,0.91388,0.00217,-0.04985,0.37211,10/25/21,382.00,3.00,2.65,28.68%,-0.07914,0.00212,-0.05338,0.35677,11/11/21
63.55,86.62,30.24%,0.91178,0.00222,-0.05049,0.37931,07/13/21,383.00,2.69,2.69,28.52%,-0.08068,0.00217,-0.05386,0.36199,11/12/21
67.42,85.66,30.06%,0.91023,0.00226,-0.05091,0.38434,09/16/21,384.00,3.03,2.75,28.37%,-0.08241,0.00221,-0.05448,0.36785,11/10/21
82.09,84.71,29.88%,0.90866,0.00230,-0.05131,0.38940,11/11/21,385.00,2.78,2.78,28.18%,-0.08381,0.00226,-0.05480,0.37251,11/12/21
65.16,83.75,29.69%,0.90707,0.00235,-0.05171,0.39449,08/20/21,386.00,3.14,2.85,28.06%,-0.08576,0.00230,-0.05553,0.37899,11/10/21
70.00,82.80,29.50%,0.90546,0.00239,-0.05210,0.39959,10/21/21,387.00,3.29,2.90,27.89%,-0.08746,0.00235,-0.05603,0.38459,11/11/21
72.12,81.85,29.32%,0.90375,0.00244,-0.05254,0.40499,10/26/21,388.00,2.99,2.95,27.73%,-0.08918,0.00240,-0.05653,0.39020,11/12/21
54.03,80.89,29.13%,0.90210,0.00249,-0.05291,0.41014,07/20/21,389.00,2.99,2.99,27.55%,-0.09083,0.00245,-0.05694,0.39555,11/12/21
78.83,79.96,29.00%,0.90002,0.00254,-0.05358,0.41661,11/12/21,390.00,3.04,3.04,27.38%,-0.09259,0.00250,-0.05742,0.40121,11/12/21
54.74,79.00,28.79%,0.89841,0.00258,-0.05386,0.42155,09/20/21,391.00,3.12,3.12,27.28%,-0.09490,0.00255,-0.05828,0.40858,11/12/21
77.46,78.06,28.61%,0.89653,0.00264,-0.05432,0.42728,11/04/21,392.00,3.21,3.16,27.09%,-0.09661,0.00261,-0.05866,0.41399,11/12/21
51.90,77.11,28.42%,0.89472,0.00269,-0.05471,0.43278,09/29/21,393.00,3.57,3.22,26.94%,-0.09861,0.00266,-0.05922,0.42025,11/10/21
51.06,76.17,28.25%,0.89271,0.00274,-0.05520,0.43880,09/29/21,394.00,3.63,3.28,26.78%,-0.10064,0.00272,-0.05977,0.42653,11/10/21
69.80,75.23,28.08%,0.89068,0.00279,-0.05568,0.44484,11/02/21,395.00,3.34,3.34,26.61%,-0.10259,0.00277,-0.06025,0.43256,11/12/21
52.04,74.28,27.90%,0.88871,0.00285,-0.05609,0.45065,07/13/21,396.00,3.43,3.41,26.46%,-0.10475,0.00283,-0.06083,0.43914,11/12/21
54.49,73.34,27.72%,0.88663,0.00290,-0.05655,0.45672,08/17/21,397.00,3.50,3.48,26.31%,-0.10702,0.00289,-0.06146,0.44599,11/12/21
70.46,72.41,27.55%,0.88445,0.00296,-0.05705,0.46305,11/10/21,398.00,4.02,3.54,26.15%,-0.10914,0.00295,-0.06196,0.45233,11/11/21
45.50,71.47,27.37%,0.88232,0.00302,-0.05747,0.46916,10/05/21,399.00,3.90,3.60,26.00%,-0.11146,0.00301,-0.06256,0.45920,11/12/21
68.41,70.54,27.21%,0.88000,0.00308,-0.05800,0.47575,11/11/21,400.00,3.71,3.66,25.82%,-0.11364,0.00308,-0.06302,0.46557,11/12/21
43.21,69.59,27.02%,0.87782,0.00314,-0.05839,0.48189,10/04/21,401.00,3.76,3.74,25.66%,-0.11601,0.00314,-0.06359,0.47247,11/12/21
31.53,68.67,26.85%,0.87544,0.00320,-0.05889,0.48851,05/13/21,402.00,4.28,3.81,25.51%,-0.11841,0.00321,-0.06414,0.47937,11/11/21
48.84,67.74,26.68%,0.87304,0.00327,-0.05937,0.49514,08/03/21,403.00,4.18,3.88,25.35%,-0.12093,0.00327,-0.06473,0.48653,11/12/21
54.90,66.81,26.52%,0.87053,0.00333,-0.05988,0.50200,10/21/21,404.00,4.12,3.96,25.20%,-0.12348,0.00334,-0.06530,0.49369,11/12/21
65.56,65.88,26.34%,0.86806,0.00340,-0.06033,0.50866,11/12/21,405.00,4.08,4.03,25.04%,-0.12605,0.00341,-0.06586,0.50086,11/12/21
64.47,64.96,26.17%,0.86549,0.00347,-0.06081,0.51554,11/04/21,406.00,4.20,4.11,24.88%,-0.12866,0.00348,-0.06639,0.50805,11/12/21
56.29,64.03,25.99%,0.86288,0.00354,-0.06127,0.52243,10/26/21,407.00,4.36,4.19,24.72%,-0.13139,0.00356,-0.06696,0.51546,11/12/21
53.29,63.11,25.82%,0.86011,0.00361,-0.06172,0.52987,10/27/21,408.00,4.26,4.26,24.55%,-0.13406,0.00363,-0.06746,0.52267,11/12/21
61.41,62.19,25.65%,0.85728,0.00368,-0.06225,0.53719,11/12/21,409.00,4.38,4.35,24.40%,-0.13694,0.00371,-0.06805,0.53032,11/12/21
60.24,61.27,25.47%,0.85371,0.00377,-0.06279,0.54702,11/12/21,410.00,4.44,4.44,24.26%,-0.14002,0.00379,-0.06872,0.53840,11/12/21
59.79,60.36,25.31%,0.85038,0.00385,-0.06337,0.55575,11/09/21,411.00,4.57,4.51,24.07%,-0.14272,0.00387,-0.06911,0.54542,11/12/21
58.26,59.43,25.13%,0.84751,0.00392,-0.06379,0.56291,11/10/21,412.00,4.61,4.61,23.94%,-0.14595,0.00395,-0.06979,0.55370,11/12/21
36.06,58.52,24.96%,0.84445,0.00400,-0.06428,0.57044,09/28/21,413.00,4.73,4.69,23.76%,-0.14890,0.00403,-0.07024,0.56116,11/12/21
50.08,57.62,24.79%,0.84102,0.00409,-0.06478,0.57909,10/26/21,414.00,4.85,4.78,23.60%,-0.15205,0.00411,-0.07077,0.56903,11/12/21
55.71,56.71,24.62%,0.83788,0.00417,-0.06523,0.58663,11/12/21,415.00,4.93,4.88,23.44%,-0.15532,0.00420,-0.07133,0.57709,11/12/21
55.63,55.80,24.44%,0.83469,0.00425,-0.06565,0.59417,11/09/21,416.00,5.09,4.97,23.27%,-0.15855,0.00429,-0.07181,0.58497,11/12/21
50.36,54.90,24.28%,0.83131,0.00434,-0.06615,0.60206,11/03/21,417.00,5.20,5.07,23.12%,-0.16199,0.00438,-0.07237,0.59321,11/12/21
53.81,53.99,24.10%,0.82794,0.00531,-0.06657,0.60978,11/09/21,418.00,5.12,5.17,22.96%,-0.16547,0.00447,-0.07290,0.60145,11/12/21
26.21,53.09,23.93%,0.82421,0.00451,-0.06704,0.61863,10/04/21,419.00,5.33,5.27,22.79%,-0.16900,0.00456,-0.07341,0.60968,11/12/21
51.22,52.20,23.76%,0.82062,0.00460,-0.06750,0.62666,11/12/21,420.00,5.46,5.37,22.63%,-0.17258,0.00466,-0.07389,0.61790,11/12/21
50.78,51.31,23.60%,0.81690,0.00470,-0.06798,0.63483,11/12/21,421.00,5.49,5.49,22.49%,-0.17659,0.00476,-0.07457,0.62696,11/12/21
48.33,50.41,23.42%,0.81321,0.00479,-0.06839,0.64284,11/04/21,422.00,5.81,5.59,22.31%,-0.18020,0.00486,-0.07496,0.63499,11/12/21
50.90,49.52,23.25%,0.80940,0.00489,-0.06881,0.65099,11/08/21,423.00,5.71,5.71,22.17%,-0.18430,0.00496,-0.07558,0.64399,11/12/21
46.00,48.63,23.07%,0.80553,0.00498,-0.06921,0.65912,11/12/21,424.00,6.43,5.81,21.99%,-0.18810,0.00506,-0.07595,0.65217,11/12/21
45.39,47.75,22.91%,0.80146,0.00508,-0.06966,0.66751,11/10/21,425.00,5.92,5.92,21.81%,-0.19211,0.00517,-0.07638,0.66065,11/12/21
46.60,46.87,22.74%,0.79734,0.00518,-0.07008,0.67588,11/10/21,426.00,6.19,6.05,21.66%,-0.19638,0.00527,-0.07691,0.66956,11/12/21
45.75,45.99,22.57%,0.79291,0.00529,-0.07048,0.68501,11/10/21,427.00,6.35,6.17,21.50%,-0.20072,0.00538,-0.07740,0.67843,11/12/21
43.80,45.12,22.40%,0.78860,0.00539,-0.07088,0.69345,11/12/21,428.00,6.35,6.29,21.33%,-0.20506,0.00550,-0.07783,0.68713,11/12/21
43.70,44.24,22.23%,0.78417,0.00550,-0.07128,0.70198,11/12/21,429.00,6.67,6.42,21.17%,-0.20960,0.00561,-0.07830,0.69607,11/12/21
42.40,43.37,22.05%,0.77972,0.00561,-0.07161,0.71035,11/12/21,430.00,6.51,6.55,21.01%,-0.21420,0.00573,-0.07873,0.70496,11/12/21
42.39,42.51,21.89%,0.77503,0.00572,-0.07202,0.71903,11/10/21,431.00,6.75,6.69,20.85%,-0.21901,0.00584,-0.07921,0.71406,11/12/21
39.58,41.65,21.71%,0.77022,0.00583,-0.07237,0.72781,11/11/21,432.00,6.84,6.84,20.70%,-0.22403,0.00596,-0.07973,0.72334,11/12/21
38.15,40.79,21.54%,0.76538,0.00595,-0.07270,0.73638,11/11/21,433.00,7.08,6.97,20.52%,-0.22885,0.00609,-0.08006,0.73208,11/12/21
39.34,39.94,21.38%,0.76016,0.00606,-0.07309,0.74559,11/12/21,434.00,7.25,7.11,20.35%,-0.23389,0.00621,-0.08042,0.74101,11/12/21
38.44,39.08,21.20%,0.75511,0.00618,-0.07338,0.75414,11/12/21,435.00,7.36,7.26,20.19%,-0.23914,0.00634,-0.08082,0.75009,11/12/21
35.70,38.23,21.03%,0.74991,0.00630,-0.07367,0.76272,11/11/21,436.00,7.53,7.42,20.03%,-0.24453,0.00647,-0.08122,0.75920,11/12/21
36.35,37.39,20.87%,0.74430,0.00643,-0.07400,0.77200,11/12/21,437.00,7.65,7.57,19.86%,-0.25000,0.00660,-0.08157,0.76822,11/12/21
34.29,36.55,20.70%,0.73883,0.00655,-0.07428,0.78060,11/11/21,438.00,7.95,7.73,19.70%,-0.25563,0.00673,-0.08191,0.77725,11/12/21
35.35,35.71,20.53%,0.73321,0.00668,-0.07455,0.78919,11/12/21,439.00,7.94,7.90,19.54%,-0.26146,0.00687,-0.08228,0.78636,11/12/21
34.40,34.88,20.35%,0.72730,0.00681,-0.07476,0.79827,11/12/21,440.00,8.17,8.07,19.38%,-0.26739,0.00700,-0.08260,0.79536,11/12/21
32.70,34.06,20.18%,0.72115,0.00694,-0.07501,0.80741,11/12/21,441.00,8.52,8.24,19.21%,-0.27342,0.00714,-0.08288,0.80425,11/12/21
32.20,33.23,20.01%,0.71514,0.00707,-0.07520,0.81582,11/12/21,442.00,9.10,8.42,19.05%,-0.27966,0.00728,-0.08317,0.81317,11/12/21
29.91,32.41,19.84%,0.70899,0.00720,-0.07538,0.82418,11/10/21,443.00,8.75,8.60,18.88%,-0.28600,0.00743,-0.08341,0.82195,11/12/21
30.96,31.60,19.67%,0.70263,0.00734,-0.07557,0.83253,11/12/21,444.00,8.91,8.79,18.71%,-0.29256,0.00757,-0.08366,0.83072,11/12/21
28.41,30.78,19.49%,0.69621,0.00747,-0.07567,0.84068,11/12/21,445.00,8.97,8.97,18.53%,-0.29914,0.00773,-0.08380,0.83922,11/12/21
27.64,29.98,19.32%,0.68958,0.00761,-0.07578,0.84878,11/11/21,446.00,9.33,9.18,18.38%,-0.30607,0.00787,-0.08404,0.84785,11/12/21
26.78,29.18,19.14%,0.68258,0.00775,-0.07586,0.85729,11/11/21,447.00,9.52,9.38,18.21%,-0.31313,0.00802,-0.08422,0.85629,11/12/21
26.00,28.39,18.97%,0.67559,0.00789,-0.07595,0.86519,11/10/21,448.00,10.43,9.59,18.04%,-0.32031,0.00818,-0.08434,0.86454,11/12/21
26.40,27.61,18.80%,0.66844,0.00803,-0.07602,0.87293,11/10/21,449.00,9.91,9.80,17.88%,-0.32772,0.00833,-0.08445,0.87266,11/12/21
26.56,26.83,18.63%,0.66112,0.00818,-0.07604,0.88049,11/12/21,450.00,10.35,10.02,17.70%,-0.33526,0.00849,-0.08451,0.88057,11/12/21
25.70,26.06,18.47%,0.65356,0.00832,-0.07606,0.88799,11/10/21,451.00,11.43,10.24,17.54%,-0.34306,0.00864,-0.08459,0.88834,11/11/21
23.58,25.29,18.29%,0.64590,0.00846,-0.07602,0.89514,11/10/21,452.00,10.66,10.48,17.37%,-0.35100,0.00880,-0.08460,0.89585,11/12/21
23.85,24.52,18.12%,0.63807,0.00861,-0.07594,0.90207,11/12/21,453.00,13.45,10.71,17.20%,-0.35914,0.00896,-0.08457,0.90311,11/10/21
22.00,23.77,17.95%,0.63000,0.00884,-0.07587,0.90879,11/11/21,454.00,11.74,10.96,17.03%,-0.36750,0.00912,-0.08452,0.91012,11/12/21
22.41,23.02,17.78%,0.62170,0.00890,-0.07572,0.91537,11/12/21,455.00,11.35,11.21,16.86%,-0.37605,0.00928,-0.08443,0.91683,11/12/21
21.63,22.28,17.61%,0.61309,0.00904,-0.07555,0.92188,11/12/21,456.00,11.74,11.47,16.69%,-0.38484,0.00944,-0.08432,0.92323,11/12/21
20.91,21.55,17.44%,0.60448,0.00919,-0.07534,0.92768,11/12/21,457.00,11.88,11.74,16.52%,-0.39385,0.00960,-0.08418,0.92929,11/12/21
20.27,20.89,17.34%,0.59529,0.00929,-0.07543,0.93361,11/12/21,458.00,12.29,12.01,16.35%,-0.40304,0.00976,-0.08396,0.93494,11/12/21
20.00,20.13,17.12%,0.58633,0.00946,-0.07492,0.93876,11/12/21,459.00,12.56,12.29,16.17%,-0.41247,0.00992,-0.08371,0.94019,11/12/21
19.18,19.42,16.95%,0.57711,0.00960,-0.07459,0.94341,11/12/21,460.00,12.69,12.58,16.01%,-0.42214,0.01007,-0.08345,0.94499,11/12/21
17.11,18.72,16.78%,0.56753,0.00974,-0.07422,0.94798,11/11/21,461.00,13.25,12.88,15.84%,-0.43203,0.01023,-0.08313,0.94931,11/12/21
17.57,18.03,16.61%,0.55790,0.00988,-0.07382,0.95172,11/12/21,462.00,13.48,13.19,15.67%,-0.44215,0.01038,-0.08276,0.95310,11/12/21
17.05,17.35,16.44%,0.54806,0.01001,-0.07338,0.95494,11/12/21,463.00,13.72,13.51,15.50%,-0.45251,0.01053,-0.08235,0.95633,11/12/21
16.70,16.70,16.30%,0.53800,0.01012,-0.07303,0.95763,11/12/21,464.00,14.09,13.85,15.35%,-0.46310,0.01066,-0.08197,0.95895,11/12/21
16.05,16.05,16.15%,0.52765,0.01024,-0.07255,0.95989,11/12/21,465.00,14.44,14.19,15.18%,-0.47391,0.01080,-0.08146,0.96092,11/12/21
15.25,15.36,15.94%,0.51718,0.01039,-0.07177,0.96137,11/12/21,466.00,14.78,14.55,15.01%,-0.48496,0.01094,-0.08089,0.96219,11/12/21
14.49,14.72,15.77%,0.50643,0.01325,-0.07114,0.96222,11/12/21,467.00,14.94,14.94,14.88%,-0.49617,0.01104,-0.08045,0.96272,11/12/21
13.89,14.09,15.60%,0.49546,0.01062,-0.07041,0.96258,11/12/21,468.00,15.57,15.28,14.68%,-0.50774,0.01119,-0.07961,0.96247,11/12/21
13.27,13.46,15.44%,0.48438,0.01072,-0.06967,0.96197,11/12/21,469.00,16.18,15.66,14.51%,-0.51949,0.01131,-0.07886,0.96138,11/12/21
12.89,12.89,15.30%,0.47322,0.01080,-0.06904,0.96060,11/12/21,470.00,16.32,16.06,14.34%,-0.53144,0.01141,-0.07809,0.95941,11/12/21
12.08,12.28,15.12%,0.46168,0.01090,-0.06810,0.95838,11/12/21,471.00,17.08,16.48,14.18%,-0.54359,0.01151,-0.07728,0.95651,11/12/21
11.52,11.70,14.96%,0.45002,0.01098,-0.06721,0.95535,11/12/21,472.00,18.56,16.90,14.02%,-0.55596,0.01159,-0.07639,0.95263,11/12/21
9.73,11.14,14.81%,0.43816,0.01105,-0.06630,0.95152,11/12/21,473.00,17.78,17.34,13.86%,-0.56852,0.01167,-0.07545,0.94773,11/05/21
10.37,10.59,14.65%,0.42622,0.01110,-0.06533,0.94665,11/12/21,474.00,19.18,17.80,13.70%,-0.58125,0.01173,-0.07446,0.94176,11/12/21
10.06,10.06,14.51%,0.41423,0.01114,-0.06436,0.94088,11/12/21,475.00,19.68,18.27,13.55%,-0.59414,0.01177,-0.07341,0.93469,11/12/21
