,contractSymbol,strike,currency,lastPrice,change,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,Type
27,SPY220819P00365000,365.0,USD,9.86,9.86,14.0,30,10.25,10.37,REGULAR,1660867200,1646336602,0.322760678710937,False,P
28,SPY220819P00370000,370.0,USD,10.76,10.76,2.0,269,11.05,11.17,REGULAR,1660867200,1646333215,0.31706920730590804,False,P
29,SPY220819P00375000,375.0,USD,11.88,11.88,23.0,77,11.91,12.04,REGULAR,1660867200,1646337034,0.311560839538574,False,P
30,SPY220819P00380000,380.0,USD,12.14,12.14,26.0,337,12.83,12.96,REGULAR,1660867200,1646334830,0.30591514404296805,False,P
31,SPY220819P00385000,385.0,USD,14.11,14.11,2.0,53,13.82,13.96,REGULAR,1660867200,1646340000,0.300452552185058,False,P
32,SPY220819P00390000,390.0,USD,15.16,15.16,2.0,194,14.87,15.01,REGULAR,1660867200,1646340000,0.294791598052978,False,P
33,SPY220819P00395000,395.0,USD,16.18,16.18,14.0,1365,15.99,16.14,REGULAR,1660867200,1646337971,0.289191678466796,False,P
34,SPY220819P00400000,400.0,USD,18.0,18.0,17.0,20,17.18,17.34,REGULAR,1660867200,1646340382,0.28351546569824204,False,P
35,SPY220819P00405000,405.0,USD,18.0,18.0,,53,18.46,18.61,REGULAR,1660867200,1646252446,0.27771718383789,False,P
36,SPY220819P00410000,410.0,USD,20.08,20.08,17.0,3407,19.81,19.96,REGULAR,1660867200,1646339551,0.27182735015869103,False,P
37,SPY220819P00415000,415.0,USD,20.56,20.56,812.0,346,21.24,21.41,REGULAR,1660867200,1646336535,0.26599855102539,False,P
38,SPY220819P00420000,420.0,USD,23.01,23.01,135.0,72,22.76,22.93,REGULAR,1660867200,1646337641,0.25991035507202104,False,P
39,SPY220819P00425000,425.0,USD,23.1,23.1,17.0,249,24.3,24.62,REGULAR,1660867200,1646319778,0.25437147003173805,False,P
40,SPY220819P00430000,430.0,USD,25.28,25.28,29.0,82,26.01,26.32,REGULAR,1660867200,1646336424,0.247917066802978,False,P
41,SPY220819P00435000,435.0,USD,28.16,28.16,27.0,2580,27.84,28.15,REGULAR,1660867200,1646339481,0.241538956756591,False,P
42,SPY220819P00440000,440.0,USD,29.9,29.9,32.0,28,29.77,30.13,REGULAR,1660867200,1646342040,0.235359208984374,True,P
43,SPY220819P00445000,445.0,USD,30.96,30.96,,26,31.48,32.45,REGULAR,1660867200,1646249551,0.23087316986083903,True,P
44,SPY220819P00450000,450.0,USD,38.73,38.73,,2,33.66,34.6,REGULAR,1660867200,1646153173,0.22370161071777303,True,P
45,SPY220819P00455000,455.0,USD,39.5,39.5,,6,36.01,37.13,REGULAR,1660867200,1646234215,0.21846789840698203,True,P
46,SPY220819P00460000,460.0,USD,38.72,38.72,1.0,6,38.54,39.75,REGULAR,1660867200,1646321111,0.21263909927368102,True,P
47,SPY220819P00465000,465.0,USD,45.42,45.42,,2,41.38,42.48,REGULAR,1660867200,1646076438,0.20626098922729402,True,P
48,SPY220819P00475000,475.0,USD,48.29,48.29,,9,47.45,48.96,REGULAR,1660867200,1646239504,0.19829598098754803,True,P
49,SPY220819P00480000,480.0,USD,52.0,52.0,1.0,0,50.9,52.53,REGULAR,1660867200,1646321866,0.19525951232910102,True,P
50,SPY220819P00500000,500.0,USD,66.0,66.0,,1,67.12,68.84,REGULAR,1660867200,1646249962,0.19190261230468703,True,P
51,SPY220819P00550000,550.0,USD,118.32,118.32,,1,114.87,116.84,REGULAR,1660867200,1646236576,0.23609162353515603,True,P
0,SPY220819C00300000,300.0,USD,133.14,133.14,,2,137.87,139.53,REGULAR,1660867200,1646153637,0.39972524108886703,True,C
1,SPY220819C00305000,305.0,USD,128.46,128.46,,2,133.02,134.96,REGULAR,1660867200,1646153637,0.396307306518554,True,C
2,SPY220819C00375000,375.0,USD,70.56,70.56,,1,71.09,72.4,REGULAR,1660867200,1646145005,0.307227386779785,True,C
3,SPY220819C00405000,405.0,USD,45.04,45.04,,1,47.87,48.87,REGULAR,1660867200,1646153601,0.273261661987304,True,C
4,SPY220819C00410000,410.0,USD,40.4,40.4,,70,44.26,45.2,REGULAR,1660867200,1646168068,0.267310793762207,True,C
5,SPY220819C00415000,415.0,USD,41.5,41.5,254.0,6,40.72,41.62,REGULAR,1660867200,1646327126,0.261314149627685,True,C
6,SPY220819C00420000,420.0,USD,37.2,37.2,7.0,4,37.28,38.12,REGULAR,1660867200,1646324402,0.25513440185546804,True,C
7,SPY220819C00425000,425.0,USD,33.99,33.99,3.0,19,34.13,34.5,REGULAR,1660867200,1646323685,0.24698628997802702,True,C
8,SPY220819C00430000,430.0,USD,31.06,31.06,1.0,78,30.89,31.21,REGULAR,1660867200,1646337464,0.240714990386962,True,C
9,SPY220819C00435000,435.0,USD,27.82,27.82,2.0,49,27.72,28.03,REGULAR,1660867200,1646337337,0.234321621704101,True,C
10,SPY220819C00440000,440.0,USD,25.98,25.98,4.0,96,24.64,24.96,REGULAR,1660867200,1646334865,0.22772989074707,False,C
11,SPY220819C00445000,445.0,USD,22.02,22.02,2069.0,187,21.71,22.02,REGULAR,1660867200,1646342096,0.22103134933471602,False,C
12,SPY220819C00450000,450.0,USD,18.61,18.61,5.0,19,18.94,19.22,REGULAR,1660867200,1646340189,0.21422599746704102,False,C
13,SPY220819C00455000,455.0,USD,18.13,18.13,1.0,3,16.29,16.59,REGULAR,1660867200,1646318152,0.20745116287231402,False,C
14,SPY220819C00460000,460.0,USD,14.01,14.01,4.0,46,13.85,14.14,REGULAR,1660867200,1646342030,0.200722104187011,False,C
15,SPY220819C00465000,465.0,USD,12.65,12.65,4.0,25,11.65,11.91,REGULAR,1660867200,1646335075,0.19429821823120103,False,C
16,SPY220819C00470000,470.0,USD,9.35,9.35,12.0,43,9.65,9.9,REGULAR,1660867200,1646340566,0.188148987731933,False,C
17,SPY220819C00475000,475.0,USD,8.6,8.6,,22,7.88,8.12,REGULAR,1660867200,1646249144,0.182365964508056,False,C
18,SPY220819C00480000,480.0,USD,6.3,6.3,3.0,29,6.36,6.58,REGULAR,1660867200,1646340438,0.17707121765136702,False,C
19,SPY220819C00485000,485.0,USD,5.68,5.68,1.0,23,5.08,5.28,REGULAR,1660867200,1646321702,0.172402074890136,False,C
20,SPY220819C00490000,490.0,USD,4.04,4.04,19.0,28,4.02,4.21,REGULAR,1660867200,1646340852,0.16846534667968702,False,C
21,SPY220819C00495000,495.0,USD,3.61,3.61,,3,3.18,3.35,REGULAR,1660867200,1646243604,0.165352584838867,False,C
22,SPY220819C00500000,500.0,USD,2.6,2.6,31.0,4,2.51,2.66,REGULAR,1660867200,1646339382,0.162850168457031,False,C
23,SPY220819C00505000,505.0,USD,2.0,2.0,52.0,57,1.8399999999999999,2.22,REGULAR,1660867200,1646339765,0.163033272094726,False,C
24,SPY220819C00520000,520.0,USD,1.1,1.1,,2,0.8300000000000001,1.21,REGULAR,1660867200,1646073051,0.16208723663330002,False,C
25,SPY220819C00525000,525.0,USD,1.08,1.08,1.0,7,0.63,1.01,REGULAR,1660867200,1646317834,0.162789133911132,False,C
26,SPY220819C00530000,530.0,USD,0.6900000000000001,0.6900000000000001,,1,0.47000000000000003,0.85,REGULAR,1660867200,1646157785,0.163826721191406,False,C
27,SPY220819C00535000,535.0,USD,0.66,0.66,2.0,0,0.35000000000000003,0.73,REGULAR,1660867200,1646328877,0.165413619384765,False,C
28,SPY220819C00545000,545.0,USD,0.58,0.58,,1,0.17,0.55,REGULAR,1660867200,1646232849,0.16907569213867102,False,C
29,SPY220819C00550000,550.0,USD,0.35000000000000003,0.35000000000000003,,2,0.11,0.49,REGULAR,1660867200,1646237697,0.17151707397460902,False,C
